admin_id,lan_name,east_west,mean_livespace_district,mean_vacancy_district,total_population,income_weighted_sum,mean_income_district,mean_green_area_district
07232,Rheinland-Pfalz,West,72.8347371635104,5.139270830634138,98809,1617260000,16367.537370077625,0
07233,Rheinland-Pfalz,West,67.18640975910367,5.4147366515512845,59281,1196185000,20178.21899090771,0
07235,Rheinland-Pfalz,West,68.55821272807981,4.675261320875481,147805,2683149000,18153.30333885863,15303.846153846152
07311,Rheinland-Pfalz,West,61.64,3.18612903226,47992,0,0,776200
07312,Rheinland-Pfalz,West,61.8934210526,4.54720588235,99689,0,0,1483500
07313,Rheinland-Pfalz,West,62.4558536585,2.9858974359,47072,0,0,0
07314,Rheinland-Pfalz,West,56.0903174603,3.76672413793,172889,0,0,3142400
07315,Rheinland-Pfalz,West,53.1077333333,4.56351351351,220386,0,0,3138200
07316,Rheinland-Pfalz,West,64.6452631579,4.21160714286,52778,0,0,435800
07317,Rheinland-Pfalz,West,67.8886363636,8.05578947368,38936,0,0,NA
07318,Rheinland-Pfalz,West,65.8551724138,8.0936,49482,0,0,608200
07319,Rheinland-Pfalz,West,62.815862069,3.86673469388,84986,0,0,0
07320,Rheinland-Pfalz,West,67.8615686275,5.03617021277,33141,0,0,0
07331,Rheinland-Pfalz,West,67.08406186244927,4.843793662859377,129739,3004723000,23159.75150109065,0
07332,Rheinland-Pfalz,West,68.612111173775,4.4417411847410415,133847,3476424000,25973.11856074473,16379.16666666667
07333,Rheinland-Pfalz,West,70.7811716637284,6.074528246787284,74787,1551590000,20746.78754328961,0
07334,Rheinland-Pfalz,West,63.44522403304839,3.875196399809355,130551,2887369000,22116.789607126717,0
07335,Rheinland-Pfalz,West,72.4580354384,6.004232547966,105761,2139716000,20231.616569434857,28994
07336,Rheinland-Pfalz,West,71.05054494654898,6.848072845805306,69530,1300024000,18697.31051344743,10272.448979591838
07337,Rheinland-Pfalz,West,70.189758306876,5.357598034188,112576,2606741000,23155.38835986356,0
07338,Rheinland-Pfalz,West,69.362542905988,3.4332567765568,155243,4062556000,26169.012451447084,40404
07339,Rheinland-Pfalz,West,67.14408958392656,5.269653792389063,205297,5737083000,27945.28414930564,26695.3125
07340,Rheinland-Pfalz,West,72.78641015465833,5.661076247165595,90480,1928408000,21313.085764809905,0
08111,Baden-Württemberg,West,51.1485561497,3.31960227273,610458,0,0,10685900
08115,Baden-Württemberg,West,57.78734507076154,3.5922293845915383,389650,10691298000,27438.208648787375,162284.61538461535
08116,Baden-Württemberg,West,59.57352391038409,3.599210492415,529895,13967863000,26359.680691457743,94929.54545454548
08117,Baden-Württemberg,West,60.815362327013155,4.234000290129473,255589,5990593000,23438.38349850737,50371.052631578954
08118,Baden-Württemberg,West,57.97806943176154,4.107198160724359,528576,14654543000,27724.571301004966,106969.23076923078
08119,Baden-Württemberg,West,60.23281888909678,3.959512061115484,435660,10927756000,25083.220860303907,79996.7741935484
08121,Baden-Württemberg,West,57.5058441558,5.33985074627,128303,0,0,1420500
08125,Baden-Württemberg,West,61.01850562929348,3.9330344741191303,348958,8834461000,25316.688541314426,74504.34782608696
08126,Baden-Württemberg,West,63.0691891424625,4.405199448684375,114027,2814053000,24678.830452436705,0
08127,Baden-Württemberg,West,64.53742748298333,5.456330856674667,197296,4758691000,24119.55133403617,0
08128,Baden-Württemberg,West,66.92804146257778,6.0510690183,132215,2888627000,21847.952199069696,0
08135,Baden-Württemberg,West,61.159849084763636,4.685617471954545,133426,2941424000,22045.358475859277,0
08136,Baden-Württemberg,West,61.736343188652384,5.833245209069048,314697,7766500000,24679.29468663508,0
08211,Baden-Württemberg,West,64.8860869565,7.70693548387,55887,0,0,NA
