Tabelle: 12521-0041
Foreigners: Administrative districts, reference date, sex,;;;;;;
country groups/citizenship;;;;;;
Statistics of foreigners;;;;;;;;;
Foreigners (number);;;;;;;;;
;;;;Male;;Female;;Total;
;;;EU-25 (until 2006-12-31);1935;e;1930;e;3865;e
;;;EU-25 third countries (until 2006-12-31);6370;e;5595;e;11965;e
;;;EU-15 (until 2004-04-30);1235;e;1260;e;2490;e
;;;EU-15 third countries (until 2004-04-30);7070;e;6265;e;13335;e
;;;EC-12 (until 1994-12-31);1140;e;1125;e;2265;e
;;;EC-12 third countries (until 1994-12-31);7165;e;6400;e;13565;e
;;;EC-10 (until 1985-12-31);1075;e;1090;e;2165;e
;;;EC-10 third countries (until 1985-12-31);7230;e;6435;e;13665;e
;;;EC-9 (until 1980-12-31);985;e;1045;e;2030;e
;;;EC-9 third countries (until 1980-12-31);7320;e;6480;e;13795;e
;;;EEC-6 (until 1972-12-31);170;e;145;e;315;e
;;;EEC-6 third countries (until 1972-12-31);8130;e;7380;e;15510;e
;;;Africa;300;e;210;e;510;e
;;;North Africa;80;e;50;e;130;e
;;;West Africa;35;e;20;e;55;e
;;;Central Africa;15;e;20;e;35;e
;;;East Africa;160;e;110;e;270;e
;;;Southern Africa;10;e;10;e;20;e
;;;America;105;e;175;e;280;e
;;;North America;60;e;65;e;125;e
;;;Central America and Caribbean;10;e;30;e;40;e
;;;South America;35;e;80;e;120;e
;;;Asia;3115;e;2145;e;5255;e
;;;South West Asia;2240;e;1500;e;3735;e
;;;South and South East Asia;110;e;200;e;310;e
;;;East and Central Asia;765;e;445;e;1210;e
;;;Australia and Oceania;10;e;10;e;20;e
;;;Countries of origin of foreign workers;825;e;605;e;1430;e
;;;Territory of former Yugoslavia;235;e;215;e;450;e
;;;Territory of former Serbia and Montenegro;90;e;80;e;170;e
;;;Territory of the former Soviet Union;1470;e;2060;e;3530;e
;;;Territory of former Czechoslovakia;30;e;30;e;60;e
;;;United Kingdom incl. British overseas territories;60;e;35;e;95;e
;01060;Segeberg, Landkreis;Total;20620;e;17590;e;38210;e
;;;videlicet:;;;;;;
;;;Europe;12995;e;11485;e;24480;e
;;;EU-27 (since 2020-02-01);7655;e;5590;e;13250;e
;;;EU-27 third countries (since 2020-02-01);12960;e;12000;e;24960;e
;;;EU-28 (until 2020-01-31);7800;e;5685;e;13485;e
;;;EU-28 third countries (until 2020-01-31);12820;e;11910;e;24725;e
;;;EU-27 (until 2013-06-30);7425;e;5385;e;12810;e
;;;EU-27 third countries (until 2013-06-30);13195;e;12205;e;25400;e
;;;EU-25 (until 2006-12-31);5360;e;4130;e;9490;e
;;;EU-25 third countries (until 2006-12-31);15255;e;13460;e;28720;e
;;;EU-15 (until 2004-04-30);2755;e;2245;e;5000;e
;;;EU-15 third countries (until 2004-04-30);17865;e;15350;e;33215;e
;;;EC-12 (until 1994-12-31);2435;e;1900;e;4335;e
;;;EC-12 third countries (until 1994-12-31);18185;e;15690;e;33880;e
;;;EC-10 (until 1985-12-31);1825;e;1375;e;3200;e
;;;EC-10 third countries (until 1985-12-31);18795;e;16220;e;35010;e
;;;EC-9 (until 1980-12-31);1265;e;985;e;2250;e
;;;EC-9 third countries (until 1980-12-31);19355;e;16605;e;35960;e
;;;EEC-6 (until 1972-12-31);910;e;660;e;1570;e
;;;EEC-6 third countries (until 1972-12-31);19710;e;16935;e;36640;e
;;;Africa;1000;e;700;e;1700;e
;;;North Africa;360;e;175;e;535;e
;;;West Africa;230;e;175;e;410;e
;;;Central Africa;50;e;55;e;110;e
;;;East Africa;325;e;260;e;585;e
;;;Southern Africa;30;e;35;e;65;e
;;;America;315;e;495;e;810;e
;;;North America;160;e;160;e;320;e
;;;Central America and Caribbean;30;e;65;e;95;e
;;;South America;120;e;265;e;390;e
;;;Asia;6100;e;4780;e;10880;e
;;;South West Asia;3570;e;2500;e;6065;e
;;;South and South East Asia;560;e;745;e;1305;e
;;;East and Central Asia;1970;e;1535;e;3505;e
;;;Australia and Oceania;30;e;25;e;55;e
;;;Countries of origin of foreign workers;5345;e;4175;e;9525;e
;;;Territory of former Yugoslavia;1505;e;1285;e;2790;e
;;;Territory of former Serbia and Montenegro;465;e;410;e;875;e
;;;Territory of the former Soviet Union;2555;e;3705;e;6260;e
;;;Territory of former Czechoslovakia;80;e;70;e;150;e
;;;United Kingdom incl. British overseas territories;145;e;95;e;240;e
;01061;Steinburg, Landkreis;Total;7050;e;6045;e;13095;e
;;;videlicet:;;;;;;
;;;Europe;3730;e;3575;e;7305;e
;;;EU-27 (since 2020-02-01);1960;e;1595;e;3555;e
;;;EU-27 third countries (since 2020-02-01);5090;e;4450;e;9540;e
;;;EU-28 (until 2020-01-31);2015;e;1620;e;3635;e
;;;EU-28 third countries (until 2020-01-31);5035;e;4425;e;9460;e
;;;EU-27 (until 2013-06-30);1955;e;1575;e;3530;e
;;;EU-27 third countries (until 2013-06-30);5095;e;4470;e;9565;e
;;;EU-25 (until 2006-12-31);1290;e;1120;e;2410;e
;;;EU-25 third countries (until 2006-12-31);5755;e;4925;e;10680;e
;;;EU-15 (until 2004-04-30);615;e;490;e;1100;e
;;;EU-15 third countries (until 2004-04-30);6435;e;5555;e;11990;e
;;;EC-12 (until 1994-12-31);545;e;410;e;955;e
;;;EC-12 third countries (until 1994-12-31);6505;e;5635;e;12135;e
;;;EC-10 (until 1985-12-31);455;e;345;e;800;e
;;;EC-10 third countries (until 1985-12-31);6595;e;5700;e;12295;e
;;;EC-9 (until 1980-12-31);330;e;260;e;590;e
;;;EC-9 third countries (until 1980-12-31);6720;e;5785;e;12505;e
;;;EEC-6 (until 1972-12-31);245;e;175;e;420;e
;;;EEC-6 third countries (until 1972-12-31);6805;e;5870;e;12675;e
;;;Africa;325;e;260;e;585;e
;;;North Africa;100;e;50;e;150;e
;;;West Africa;45;e;40;e;85;e
;;;Central Africa;10;e;20;e;30;e
;;;East Africa;165;e;140;e;305;e
;;;Southern Africa;5;e;5;e;15;e
;;;America;80;e;105;e;185;e
;;;North America;30;e;35;e;65;e
;;;Central America and Caribbean;15;e;20;e;35;e
;;;South America;35;e;55;e;85;e
;;;Asia;2835;e;2030;e;4865;e
;;;South West Asia;1865;e;1350;e;3215;e
;;;South and South East Asia;225;e;215;e;440;e
;;;East and Central Asia;745;e;465;e;1210;e
;;;Australia and Oceania;5;e;5;e;10;e
;;;Countries of origin of foreign workers;1260;e;970;e;2225;e
;;;Territory of former Yugoslavia;270;e;225;e;495;e
;;;Territory of former Serbia and Montenegro;130;e;100;e;230;e
;;;Territory of the former Soviet Union;1225;e;1595;e;2820;e
;;;Territory of former Czechoslovakia;10;e;20;e;35;e
;;;United Kingdom incl. British overseas territories;55;e;25;e;80;e
;01062;Stormarn, Landkreis;Total;13385;e;12850;e;26240;e
;;;videlicet:;;;;;;
;;;Europe;7655;e;7975;e;15635;e
;;;EU-27 (since 2020-02-01);4075;e;3770;e;7845;e
;;;EU-27 third countries (since 2020-02-01);9310;e;9085;e;18395;e
;;;EU-28 (until 2020-01-31);4170;e;3830;e;8000;e
;;;EU-28 third countries (until 2020-01-31);9215;e;9020;e;18240;e
;;;EU-27 (until 2013-06-30);3920;e;3640;e;7560;e
;;;EU-27 third countries (until 2013-06-30);9465;e;9215;e;18680;e
;;;EU-25 (until 2006-12-31);2905;e;2955;e;5860;e
;;;EU-25 third countries (until 2006-12-31);10480;e;9900;e;20380;e
;;;EU-15 (until 2004-04-30);1445;e;1445;e;2890;e
;;;EU-15 third countries (until 2004-04-30);11945;e;11405;e;23350;e
;;;EC-12 (until 1994-12-31);1250;e;1145;e;2390;e
;;;EC-12 third countries (until 1994-12-31);12140;e;11710;e;23845;e
;;;EC-10 (until 1985-12-31);830;e;760;e;1590;e
;;;EC-10 third countries (until 1985-12-31);12555;e;12090;e;24645;e
;;;EC-9 (until 1980-12-31);665;e;625;e;1295;e
;;;EC-9 third countries (until 1980-12-31);12720;e;12225;e;24945;e
;;;EEC-6 (until 1972-12-31);490;e;410;e;900;e
;;;EEC-6 third countries (until 1972-12-31);12895;e;12440;e;25335;e
;;;Africa;635;e;525;e;1160;e
;;;North Africa;185;e;130;e;315;e
;;;West Africa;200;e;170;e;370;e
;;;Central Africa;30;e;35;e;65;e
;;;East Africa;185;e;170;e;355;e
;;;Southern Africa;35;e;15;e;50;e
;;;America;195;e;325;e;520;e
;;;North America;100;e;120;e;220;e
;;;Central America and Caribbean;15;e;40;e;55;e
;;;South America;80;e;165;e;245;e
;;;Asia;4805;e;3945;e;8750;e
;;;South West Asia;2670;e;1960;e;4630;e
;;;South and South East Asia;315;e;540;e;855;e
;;;East and Central Asia;1825;e;1440;e;3265;e
;;;Australia and Oceania;10;e;15;e;30;e
;;;Countries of origin of foreign workers;3105;e;2630;e;5730;e
;;;Territory of former Yugoslavia;1245;e;1060;e;2305;e
;;;Territory of former Serbia and Montenegro;545;e;510;e;1055;e
;;;Territory of the former Soviet Union;1715;e;2715;e;4430;e
;;;Territory of former Czechoslovakia;15;e;70;e;85;e
;;;United Kingdom incl. British overseas territories;95;e;60;e;160;e
;02000;Hamburg, kreisfreie Stadt;Total;195710;e;181200;e;376910;e
;;;videlicet:;;;;;;
;;;Europe;108915;e;109705;e;218620;e
;;;EU-27 (since 2020-02-01);47490;e;44800;e;92295;e
;;;EU-27 third countries (since 2020-02-01);148220;e;136400;e;284620;e
;;;EU-28 (until 2020-01-31);49845;e;46075;e;95920;e
;;;EU-28 third countries (until 2020-01-31);145865;e;135125;e;280990;e
;;;EU-27 (until 2013-06-30);46590;e;43070;e;89660;e
;;;EU-27 third countries (until 2013-06-30);149120;e;138130;e;287250;e
;;;EU-25 (until 2006-12-31);37230;e;34600;e;71830;e
;;;EU-25 third countries (until 2006-12-31);158485;e;146600;e;305085;e
;;;EU-15 (until 2004-04-30);24160;e;20715;e;44875;e
;;;EU-15 third countries (until 2004-04-30);171550;e;160485;e;332035;e
;;;EC-12 (until 1994-12-31);21695;e;17865;e;39560;e
;;;EC-12 third countries (until 1994-12-31);174015;e;163335;e;337350;e
;;;EC-10 (until 1985-12-31);14315;e;11030;e;25345;e
;;;EC-10 third countries (until 1985-12-31);181395;e;170170;e;351565;e
;;;EC-9 (until 1980-12-31);11165;e;8405;e;19570;e
;;;EC-9 third countries (until 1980-12-31);184545;e;172795;e;357345;e
;;;EEC-6 (until 1972-12-31);7940;e;6200;e;14140;e
;;;EEC-6 third countries (until 1972-12-31);187770;e;175000;e;362770;e
;;;Africa;18485;e;13475;e;31960;e
;;;North Africa;5165;e;2730;e;7895;e
;;;West Africa;8665;e;7215;e;15875;e
;;;Central Africa;520;e;375;e;895;e
;;;East Africa;3640;e;2670;e;6305;e
;;;Southern Africa;495;e;490;e;985;e
;;;America;7560;e;8660;e;16220;e
;;;North America;2805;e;2585;e;5390;e
;;;Central America and Caribbean;1475;e;1575;e;3050;e
;;;South America;3275;e;4505;e;7780;e
;;;Asia;58410;e;47805;e;106215;e
;;;South West Asia;23350;e;17215;e;40565;e
;;;South and South East Asia;10810;e;10510;e;21320;e
;;;East and Central Asia;24255;e;20080;e;44335;e
;;;Australia and Oceania;620;e;455;e;1075;e
;;;Countries of origin of foreign workers;57040;e;49590;e;106635;e
;;;Territory of former Yugoslavia;15995;e;14700;e;30695;e
;;;Territory of former Serbia and Montenegro;5810;e;5825;e;11635;e
;;;Territory of the former Soviet Union;22725;e;32940;e;55665;e
;;;Territory of former Czechoslovakia;495;e;615;e;1110;e
;;;United Kingdom incl. British overseas territories;2355;e;1280;e;3640;e
;03101;Braunschweig, kreisfreie Stadt;Total;19050;e;17610;e;36655;e
;;;videlicet:;;;;;;
;;;Europe;10500;e;11015;e;21515;e
;;;EU-27 (since 2020-02-01);4670;e;4350;e;9020;e
;;;EU-27 third countries (since 2020-02-01);14380;e;13260;e;27640;e
;;;EU-28 (until 2020-01-31);4770;e;4405;e;9175;e
;;;EU-28 third countries (until 2020-01-31);14275;e;13205;e;27480;e
;;;EU-27 (until 2013-06-30);4625;e;4260;e;8890;e
;;;EU-27 third countries (until 2013-06-30);14420;e;13350;e;27770;e
;;;EU-25 (until 2006-12-31);4000;e;3710;e;7710;e
;;;EU-25 third countries (until 2006-12-31);15050;e;13900;e;28950;e
;;;EU-15 (until 2004-04-30);2110;e;1600;e;3710;e
;;;EU-15 third countries (until 2004-04-30);16940;e;16010;e;32950;e
;;;EC-12 (until 1994-12-31);1905;e;1435;e;3345;e
;;;EC-12 third countries (until 1994-12-31);17140;e;16170;e;33315;e
;;;EC-10 (until 1985-12-31);1445;e;1030;e;2475;e
;;;EC-10 third countries (until 1985-12-31);17605;e;16575;e;34180;e
;;;EC-9 (until 1980-12-31);1185;e;835;e;2020;e
;;;EC-9 third countries (until 1980-12-31);17860;e;16775;e;34635;e
;;;EEC-6 (until 1972-12-31);1035;e;735;e;1765;e
;;;EEC-6 third countries (until 1972-12-31);18015;e;16875;e;34890;e
;;;Africa;1795;e;1160;e;2955;e
;;;North Africa;830;e;545;e;1375;e
;;;West Africa;480;e;235;e;720;e
;;;Central Africa;225;e;115;e;340;e
;;;East Africa;200;e;215;e;420;e
;;;Southern Africa;55;e;50;e;105;e
;;;America;625;e;655;e;1280;e
;;;North America;200;e;160;e;360;e
;;;Central America and Caribbean;155;e;145;e;305;e
;;;South America;270;e;345;e;615;e
;;;Asia;5895;e;4615;e;10510;e
;;;South West Asia;2795;e;2035;e;4830;e
;;;South and South East Asia;1310;e;1255;e;2565;e
;;;East and Central Asia;1790;e;1330;e;3120;e
;;;Australia and Oceania;20;e;15;e;35;e
;;;Countries of origin of foreign workers;5940;e;5035;e;10975;e
;;;Territory of former Yugoslavia;1125;e;1050;e;2175;e
;;;Territory of former Serbia and Montenegro;650;e;600;e;1250;e
;;;Territory of the former Soviet Union;2190;e;3520;e;5710;e
;;;Territory of former Czechoslovakia;85;e;95;e;180;e
;;;United Kingdom incl. British overseas territories;105;e;60;e;160;e
;03102;Salzgitter, kreisfreie Stadt;Total;13380;e;11550;e;24930;e
;;;videlicet:;;;;;;
;;;Europe;8290;e;7530;e;15820;e
;;;EU-27 (since 2020-02-01);4125;e;3225;e;7350;e
;;;EU-27 third countries (since 2020-02-01);9260;e;8325;e;17585;e
;;;EU-28 (until 2020-01-31);4155;e;3240;e;7395;e
;;;EU-28 third countries (until 2020-01-31);9225;e;8310;e;17535;e
;;;EU-27 (until 2013-06-30);4030;e;3140;e;7165;e
;;;EU-27 third countries (until 2013-06-30);9355;e;8415;e;17765;e
;;;EU-25 (until 2006-12-31);2025;e;1510;e;3535;e
;;;EU-25 third countries (until 2006-12-31);11355;e;10045;e;21400;e
;;;EU-15 (until 2004-04-30);635;e;440;e;1075;e
;;;EU-15 third countries (until 2004-04-30);12745;e;11110;e;23860;e
;;;EC-12 (until 1994-12-31);560;e;360;e;920;e
;;;EC-12 third countries (until 1994-12-31);12820;e;11195;e;24015;e
;;;EC-10 (until 1985-12-31);470;e;305;e;780;e
;;;EC-10 third countries (until 1985-12-31);12910;e;11245;e;24155;e
;;;EC-9 (until 1980-12-31);375;e;230;e;605;e
;;;EC-9 third countries (until 1980-12-31);13010;e;11320;e;24325;e
;;;EEC-6 (until 1972-12-31);335;e;210;e;545;e
;;;EEC-6 third countries (until 1972-12-31);13045;e;11340;e;24385;e
;;;Africa;460;e;320;e;775;e
;;;North Africa;135;e;90;e;230;e
;;;West Africa;105;e;65;e;170;e
;;;Central Africa;95;e;70;e;165;e
;;;East Africa;120;e;80;e;200;e
;;;Southern Africa;5;e;10;e;15;e
;;;America;100;e;95;e;195;e
;;;North America;25;e;15;e;40;e
;;;Central America and Caribbean;10;e;20;e;35;e
;;;South America;65;e;60;e;125;e
;;;Asia;3845;e;3025;e;6870;e
;;;South West Asia;3420;e;2665;e;6085;e
;;;South and South East Asia;140;e;175;e;315;e
;;;East and Central Asia;285;e;185;e;470;e
;;;Australia and Oceania;-;;5;e;5;e
;;;Countries of origin of foreign workers;4050;e;3675;e;7725;e
;;;Territory of former Yugoslavia;970;e;805;e;1775;e
;;;Territory of former Serbia and Montenegro;510;e;420;e;930;e
;;;Territory of the former Soviet Union;935;e;1255;e;2190;e
;;;Territory of former Czechoslovakia;40;e;45;e;80;e
;;;United Kingdom incl. British overseas territories;30;e;15;e;45;e
;03103;Wolfsburg, kreisfreie Stadt;Total;13355;e;11935;e;25290;e
;;;videlicet:;;;;;;
;;;Europe;7720;e;7345;e;15065;e
;;;EU-27 (since 2020-02-01);5285;e;4255;e;9540;e
;;;EU-27 third countries (since 2020-02-01);8070;e;7680;e;15755;e
;;;EU-28 (until 2020-01-31);5315;e;4270;e;9580;e
;;;EU-28 third countries (until 2020-01-31);8040;e;7665;e;15710;e
;;;EU-27 (until 2013-06-30);5155;e;4180;e;9330;e
;;;EU-27 third countries (until 2013-06-30);8200;e;7760;e;15960;e
;;;EU-25 (until 2006-12-31);4730;e;3830;e;8555;e
;;;EU-25 third countries (until 2006-12-31);8625;e;8105;e;16735;e
;;;EU-15 (until 2004-04-30);3630;e;2775;e;6405;e
;;;EU-15 third countries (until 2004-04-30);9725;e;9160;e;18890;e
;;;EC-12 (until 1994-12-31);3500;e;2675;e;6170;e
;;;EC-12 third countries (until 1994-12-31);9855;e;9265;e;19120;e
;;;EC-10 (until 1985-12-31);3210;e;2440;e;5650;e
;;;EC-10 third countries (until 1985-12-31);10145;e;9495;e;19640;e
;;;EC-9 (until 1980-12-31);3090;e;2355;e;5445;e
;;;EC-9 third countries (until 1980-12-31);10265;e;9585;e;19845;e
;;;EEC-6 (until 1972-12-31);3040;e;2320;e;5360;e
;;;EEC-6 third countries (until 1972-12-31);10315;e;9620;e;19935;e
;;;Africa;1290;e;885;e;2175;e
;;;North Africa;545;e;390;e;940;e
;;;West Africa;280;e;165;e;445;e
;;;Central Africa;150;e;70;e;220;e
;;;East Africa;275;e;220;e;495;e
;;;Southern Africa;40;e;40;e;80;e
;;;America;470;e;520;e;990;e
;;;North America;65;e;65;e;130;e
;;;Central America and Caribbean;200;e;190;e;390;e
;;;South America;210;e;265;e;475;e
;;;Asia;3695;e;3055;e;6750;e
;;;South West Asia;2050;e;1565;e;3615;e
;;;South and South East Asia;910;e;845;e;1755;e
;;;East and Central Asia;735;e;645;e;1380;e
;;;Australia and Oceania;10;e;5;e;15;e
;;;Countries of origin of foreign workers;5155;e;4070;e;9225;e
;;;Territory of former Yugoslavia;830;e;765;e;1595;e
;;;Territory of former Serbia and Montenegro;495;e;525;e;1015;e
;;;Territory of the former Soviet Union;1280;e;2115;e;3395;e
;;;Territory of former Czechoslovakia;275;e;220;e;495;e
;;;United Kingdom incl. British overseas territories;30;e;15;e;45;e
;03151;Gifhorn, Landkreis;Total;9325;e;8400;e;17720;e
;;;videlicet:;;;;;;
;;;Europe;6210;e;5750;e;11960;e
;;;EU-27 (since 2020-02-01);3100;e;2415;e;5515;e
;;;EU-27 third countries (since 2020-02-01);6225;e;5985;e;12210;e
;;;EU-28 (until 2020-01-31);3155;e;2435;e;5590;e
;;;EU-28 third countries (until 2020-01-31);6170;e;5960;e;12130;e
;;;EU-27 (until 2013-06-30);3090;e;2405;e;5495;e
;;;EU-27 third countries (until 2013-06-30);6230;e;5995;e;12230;e
;;;EU-25 (until 2006-12-31);2280;e;1845;e;4125;e
;;;EU-25 third countries (until 2006-12-31);7040;e;6555;e;13595;e
;;;EU-15 (until 2004-04-30);1365;e;1035;e;2400;e
;;;EU-15 third countries (until 2004-04-30);7960;e;7365;e;15325;e
;;;EC-12 (until 1994-12-31);1260;e;925;e;2190;e
;;;EC-12 third countries (until 1994-12-31);8060;e;7475;e;15535;e
;;;EC-10 (until 1985-12-31);1135;e;790;e;1925;e
;;;EC-10 third countries (until 1985-12-31);8190;e;7610;e;15800;e
;;;EC-9 (until 1980-12-31);745;e;480;e;1230;e
;;;EC-9 third countries (until 1980-12-31);8575;e;7915;e;16495;e
;;;EEC-6 (until 1972-12-31);680;e;425;e;1105;e
;;;EEC-6 third countries (until 1972-12-31);8645;e;7970;e;16615;e
;;;Africa;790;e;480;e;1270;e
;;;North Africa;140;e;105;e;245;e
;;;West Africa;375;e;175;e;550;e
;;;Central Africa;95;e;40;e;135;e
;;;East Africa;150;e;115;e;270;e
;;;Southern Africa;30;e;40;e;70;e
;;;America;230;e;310;e;540;e
;;;North America;55;e;50;e;100;e
;;;Central America and Caribbean;55;e;90;e;145;e
;;;South America;125;e;170;e;290;e
;;;Asia;1990;e;1800;e;3790;e
;;;South West Asia;1385;e;1035;e;2420;e
;;;South and South East Asia;205;e;350;e;555;e
;;;East and Central Asia;400;e;415;e;815;e
;;;Australia and Oceania;10;e;5;e;15;e
;;;Countries of origin of foreign workers;3105;e;2485;e;5590;e
;;;Territory of former Yugoslavia;855;e;735;e;1590;e
;;;Territory of former Serbia and Montenegro;380;e;385;e;765;e
;;;Territory of the former Soviet Union;1335;e;1885;e;3225;e
;;;Territory of former Czechoslovakia;75;e;95;e;170;e
;;;United Kingdom incl. British overseas territories;55;e;25;e;75;e
;03152;Göttingen, Landkreis (until 2016-10-31);Total;-;;-;;-;
;;;videlicet:;;;;;;
;;;Europe;-;;-;;-;
;;;EU-27 (since 2020-02-01);-;;-;;-;
;;;EU-27 third countries (since 2020-02-01);-;;-;;-;
;;;EU-28 (until 2020-01-31);-;;-;;-;
;;;EU-28 third countries (until 2020-01-31);-;;-;;-;
;;;EU-27 (until 2013-06-30);-;;-;;-;
;;;EU-27 third countries (until 2013-06-30);-;;-;;-;
;;;EU-25 (until 2006-12-31);-;;-;;-;
;;;EU-25 third countries (until 2006-12-31);-;;-;;-;
;;;EU-15 (until 2004-04-30);-;;-;;-;
;;;EU-15 third countries (until 2004-04-30);-;;-;;-;
;;;EC-12 (until 1994-12-31);-;;-;;-;
;;;EC-12 third countries (until 1994-12-31);-;;-;;-;
;;;EC-10 (until 1985-12-31);-;;-;;-;
;;;EC-10 third countries (until 1985-12-31);-;;-;;-;
;;;EC-9 (until 1980-12-31);-;;-;;-;
;;;EC-9 third countries (until 1980-12-31);-;;-;;-;
;;;EEC-6 (until 1972-12-31);-;;-;;-;
;;;EEC-6 third countries (until 1972-12-31);-;;-;;-;
;;;Africa;-;;-;;-;
;;;North Africa;-;;-;;-;
;;;West Africa;-;;-;;-;
;;;Central Africa;-;;-;;-;
;;;East Africa;-;;-;;-;
;;;Southern Africa;-;;-;;-;
;;;America;-;;-;;-;
;;;North America;-;;-;;-;
;;;Central America and Caribbean;-;;-;;-;
;;;South America;-;;-;;-;
;;;Asia;-;;-;;-;
;;;South West Asia;-;;-;;-;
;;;South and South East Asia;-;;-;;-;
;;;East and Central Asia;-;;-;;-;
;;;Australia and Oceania;-;;-;;-;
;;;Countries of origin of foreign workers;-;;-;;-;
;;;Territory of former Yugoslavia;-;;-;;-;
;;;Territory of former Serbia and Montenegro;-;;-;;-;
;;;Territory of the former Soviet Union;-;;-;;-;
;;;Territory of former Czechoslovakia;-;;-;;-;
;;;United Kingdom incl. British overseas territories;-;;-;;-;
;03153;Goslar, Landkreis;Total;9370;e;7905;e;17275;e
;;;videlicet:;;;;;;
;;;Europe;4955;e;5000;e;9955;e
;;;EU-27 (since 2020-02-01);2295;e;1930;e;4225;e
;;;EU-27 third countries (since 2020-02-01);7075;e;5975;e;13050;e
;;;EU-28 (until 2020-01-31);2340;e;1950;e;4290;e
;;;EU-28 third countries (until 2020-01-31);7030;e;5955;e;12985;e
;;;EU-27 (until 2013-06-30);2260;e;1870;e;4125;e
;;;EU-27 third countries (until 2013-06-30);7110;e;6035;e;13145;e
;;;EU-25 (until 2006-12-31);1590;e;1350;e;2940;e
;;;EU-25 third countries (until 2006-12-31);7775;e;6555;e;14335;e
;;;EU-15 (until 2004-04-30);945;e;705;e;1645;e
;;;EU-15 third countries (until 2004-04-30);8425;e;7200;e;15625;e
;;;EC-12 (until 1994-12-31);855;e;615;e;1470;e
;;;EC-12 third countries (until 1994-12-31);8510;e;7290;e;15800;e
;;;EC-10 (until 1985-12-31);730;e;480;e;1215;e
;;;EC-10 third countries (until 1985-12-31);8635;e;7425;e;16060;e
;;;EC-9 (until 1980-12-31);575;e;390;e;965;e
;;;EC-9 third countries (until 1980-12-31);8795;e;7515;e;16310;e
;;;EEC-6 (until 1972-12-31);520;e;345;e;865;e
;;;EEC-6 third countries (until 1972-12-31);8850;e;7560;e;16405;e
;;;Africa;995;e;565;e;1560;e
;;;North Africa;385;e;200;e;585;e
;;;West Africa;180;e;75;e;255;e
;;;Central Africa;345;e;205;e;550;e
;;;East Africa;60;e;65;e;125;e
;;;Southern Africa;20;e;20;e;40;e
;;;America;130;e;130;e;260;e
;;;North America;40;e;45;e;90;e
;;;Central America and Caribbean;20;e;10;e;30;e
;;;South America;70;e;75;e;145;e
;;;Asia;3040;e;2000;e;5040;e
;;;South West Asia;1765;e;1125;e;2890;e
;;;South and South East Asia;520;e;420;e;940;e
;;;East and Central Asia;755;e;460;e;1210;e
;;;Australia and Oceania;5;e;-;;5;e
;;;Countries of origin of foreign workers;2385;e;1935;e;4320;e
;;;Territory of former Yugoslavia;680;e;640;e;1320;e
;;;Territory of former Serbia and Montenegro;475;e;460;e;935;e
;;;Territory of the former Soviet Union;1190;e;1800;e;2990;e
;;;Territory of former Czechoslovakia;45;e;40;e;80;e
;;;United Kingdom incl. British overseas territories;45;e;20;e;65;e
;03154;Helmstedt, Landkreis;Total;4825;e;4520;e;9350;e
;;;videlicet:;;;;;;
;;;Europe;3290;e;3260;e;6550;e
;;;EU-27 (since 2020-02-01);1720;e;1425;e;3145;e
;;;EU-27 third countries (since 2020-02-01);3105;e;3095;e;6205;e
;;;EU-28 (until 2020-01-31);1755;e;1440;e;3195;e
