Tabelle: 12521-0041
Foreigners: Administrative districts, reference date, sex,;;;;;;
country groups/citizenship;;;;;;
Statistics of foreigners;;;;;;;;;
Foreigners (number);;;;;;;;;
;;;;Male;;Female;;Total;
;;;EU-27 (since 2020-02-01);2895;e;2705;e;5600;e
;;;EU-27 third countries (since 2020-02-01);6140;e;5705;e;11845;e
;;;EU-28 (until 2020-01-31);2960;e;2740;e;5700;e
;;;EU-28 third countries (until 2020-01-31);6075;e;5670;e;11745;e
;;;EU-27 (until 2013-06-30);2875;e;2680;e;5555;e
;;;EU-27 third countries (until 2013-06-30);6160;e;5730;e;11890;e
;;;EU-25 (until 2006-12-31);2215;e;2180;e;4395;e
;;;EU-25 third countries (until 2006-12-31);6825;e;6225;e;13050;e
;;;EU-15 (until 2004-04-30);1010;e;775;e;1790;e
;;;EU-15 third countries (until 2004-04-30);8025;e;7630;e;15655;e
;;;EC-12 (until 1994-12-31);870;e;560;e;1430;e
;;;EC-12 third countries (until 1994-12-31);8165;e;7850;e;16015;e
;;;EC-10 (until 1985-12-31);715;e;450;e;1165;e
;;;EC-10 third countries (until 1985-12-31);8320;e;7960;e;16280;e
;;;EC-9 (until 1980-12-31);545;e;355;e;900;e
;;;EC-9 third countries (until 1980-12-31);8490;e;8055;e;16545;e
;;;EEC-6 (until 1972-12-31);435;e;240;e;675;e
;;;EEC-6 third countries (until 1972-12-31);8600;e;8170;e;16770;e
;;;Africa;475;e;310;e;785;e
;;;North Africa;160;e;85;e;245;e
;;;West Africa;60;e;35;e;95;e
;;;Central Africa;35;e;25;e;55;e
;;;East Africa;210;e;125;e;335;e
;;;Southern Africa;15;e;40;e;55;e
;;;America;135;e;195;e;325;e
;;;North America;80;e;80;e;160;e
;;;Central America and Caribbean;20;e;40;e;60;e
;;;South America;35;e;75;e;105;e
;;;Asia;3145;e;2280;e;5425;e
;;;South West Asia;2140;e;1410;e;3550;e
;;;South and South East Asia;250;e;345;e;590;e
;;;East and Central Asia;755;e;525;e;1285;e
;;;Australia and Oceania;15;e;5;e;20;e
